Store,Climate,VSG,Product,Store_Group,Space,Sales,Scaled_Alpha_Sales,Scaled_Shift_Sales,Scaled_Beta_Sales,Scaled_BP_Sales,Units,Scaled_Alpha_Units,Scaled_Shift_Units,Scaled_Beta_Units,Scaled_BP_Units,Profit,Scaled_Alpha_Profit,Scaled_Shift_Profit,Scaled_Beta_Profit,Scaled_BP_Profit,Lower_Limit,Upper_Limit,Recommended_Space
1236,COLD,ST,CAREER LONG BTMS,HOT & SH-NA,2.596092969,1960.01,3123.342767,0,2.910850829,0,85,132.8331472,0,2.836715837,0,923.182,1469.378396,0,2.906321339,0,1,4.75,2.596092969
1236,COLD,ST,DENIM LONG BTMS,HOT & SH-NA,2.014312208,2224.14,2748.058162,0,1.539220049,0,83,106.648428,0,1.648495683,0,1132.001,1359.606328,0,1.459023625,0,0.25,5,2.014312208
1236,COLD,ST,DRESSES,HOT & SH-NA,1.977580632,1882.81,1951.040629,0,0.937824541,0,74,77.84188173,0,1.006139914,0,1046.936,1066.686599,0,0.839687882,0,0.5,4.5,1.977580632
1236,COLD,ST,JACKETS,HOT & SH-NA,0.803355104,1638.77,1812.334646,0,0.482286049,0,53,59.54789039,0,0.502608147,0,725.608,788.2053093,0,0.457993377,0,0,2,0.803355104
1236,COLD,ST,KNIT BOTTOMS,HOT & SH-NA,12.39749919,601.4,806.1766704,1.424993537,9.6194,4.223968801,64,88.04785216,1.505787249,9.9386,3.669261706,228.48,284.5336245,1.208494642,8.6727,4.707944371,8.25,18,12.39749919
1236,COLD,ST,KNIT TOPS,HOT & SH-NA,12.39749919,9165.27,11570.60727,1.789137266,8.4233,4.50872067,795,980.7957083,2.257825432,7.7269,4.786017111,4864.925,6290.596249,0.634803656,9.7287,4.001215162,8.25,20.25,12.39749919
1236,COLD,ST,SHORTS,HOT & SH-NA,0.613772779,419.98,881.2170627,0,0.961876811,0,20,40.06740682,0,0.91176921,0,220.802,460.893288,0,0.956153469,0,0,1.25,0.613772779
1236,COLD,ST,SKIRTS,HOT & SH-NA,3.522676584,1139.2,1257.779263,0,2.105281082,0.897383248,57,62.24888085,0,2.04077384,0.857288554,713.951,789.3726613,0,2.113386838,0,1.5,6,3.522676584
1236,COLD,ST,SWEATERS,HOT & SH-NA,3.522676584,2340.27,3169.483818,0,3.138073127,0.920885647,119,162.8926468,0,3.189926671,0.90807872,1218.227,1675.87907,0,3.214141233,0.940368229,1.5,6,3.522676584
1236,COLD,ST,WOVEN TOPS,HOT & SH-NA,4.326031688,4130.16,6231.042709,0,4.507296881,1.259781731,257,395.331878,0,4.627972193,1.337640635,2332.097,3412.189081,0,4.319143579,1.244019596,2,8,4.326031688
1237,COLD,ST,CAPRIS,COLD-NA,0.538215976,246.04,374.2226538,0,0.56703419,0,12,18.52308977,0,0.578473122,0,109.826,166.1288208,0,0.562799069,0,0,2.75,0.538215976
1237,COLD,ST,CAREER LONG BTMS,COLD-High,2.279502959,1431.62,1813.180588,0,1.820159722,0,61,79.77413537,0,1.920855638,0,694.068,862.1334791,0.0169,1.745702216,1.639197297,1,4.5,2.279502959
1237,COLD,ST,DENIM LONG BTMS,COLD-Low,1.013112426,519.85,522.0051543,0,0.353226742,0,26,26.11971848,0,0.357366644,0,163.237,163.237,NA,NA,NA,0,4.25,1.013112426
1237,COLD,ST,DRESSES,COLD-Low,1.08170858,791.92,791.92,NA,NA,NA,28,28,0.392613375,0.0831,0.392613375,440.525,440.525,0.227595389,0.103,0.227595389,0.5,4.5,1.08170858
1237,COLD,ST,JACKETS,COLD-High,0.525903846,739.37,1291.752859,0,0.662960059,0,24,43.88614845,0,0.701012218,0,310.533,528.7149891,0,0.641961947,0,0,1.5,0.525903846
1237,COLD,ST,KNIT BOTTOMS,COLD-High,10.85753994,339.6,448.0773327,2.0889,7.496062687,8.363497518,31,44.18188567,2.7585,7.787781467,8.363497518,138.607,183.1352442,1.3561,8.140619417,8.363497518,7,15,10.85753994
1237,COLD,ST,KNIT TOPS,COLD-Low,10.85753994,3707.45,4556.141579,4.5792,4.750266489,7.368539214,354,444.017196,4.894617813,4.6812,7.306656284,1946.653,2332.034042,4.624665816,4.4918,7.321308514,7,20.25,10.85753994
1237,COLD,ST,SKIRTS,COLD-Low,3.116727811,456.24,478.5774757,0,1.566793352,1.203764929,21,21.9391375,0,1.538674126,1.309695536,293.48,307.330347,0,1.555228639,0,1.25,6,3.116727811
1237,COLD,ST,SWEATERS,COLD-Low,3.116727811,1646.25,2125.866397,0.370670353,2.2662,1.206548477,80,106.0892216,0.442997879,2.3043,1.33203912,884.466,1134.082209,0.281267148,2.3123,1.06840075,1.25,6,3.116727811
1237,COLD,ST,WOVEN TOPS,COLD-Low,4.367288462,2104.02,2396.802251,0.845670351,2.2782,1.959314753,136,156.282649,0.749557391,2.388,2.002657589,1117.781,1265.336928,0.805170318,2.2701,1.940464863,1.5,7.75,4.367288462
1238,COLD,ST,CAPRIS,MILD-NA,0.682300687,225.14,585.2393864,0,1.357761856,0,10,21.22902045,0,1.083679736,0,110.884,300.7517252,0,1.421805999,0,0,2,0.682300687
1238,COLD,ST,CAREER LONG BTMS,MILD-NA,1.525975395,615.7,2034.041233,0.1663,3.495624831,1.204926192,24,81.194205,0.1663,3.584025903,1.204926192,321.901,1047.624113,0.1663,3.44091139,1.204926192,0.75,3.25,1.525975395
1238,COLD,ST,DENIM LONG BTMS,MILD-NA,0.56905576,97.47,486.4572113,0,2.241946607,0,3,17.43099351,0,2.617492143,0,56.266,281.1694622,0,2.244841121,0,0,3.25,0.56905576
1238,COLD,ST,DRESSES,MILD-NA,1.089982425,653.62,906.3103531,0,1.006455137,0,24,35.61446759,0,1.110000075,0,374.23,507.5496074,0,0.973115597,0,0.25,3.5,1.089982425
1238,COLD,ST,JACKETS,MILD-NA,0.345397028,437.99,1116.960833,0,0.673142473,0,14,37.62647673,0,0.71266678,0,175.926,448.7595844,0,0.673328703,0,0,1.25,0.345397028
1238,COLD,ST,KNIT BOTTOMS,MILD-NA,8.343320019,184.63,541.7444273,3.9201,10.02936617,7.567101324,17,51.99639318,4.1268,9.992701794,7.567101324,83.124,234.6983199,3.8199,9.842760935,7.567101324,5.25,11.25,8.343320019
1238,COLD,ST,KNIT TOPS,MILD-NA,8.343320019,2531.71,5972.833767,4.0437,7.690971753,7.569761811,214,526.0080556,4.1483,7.852029459,7.569761811,1355.521,3146.948142,3.8126,7.960589164,7.569761811,5.25,15.25,8.343320019
1238,COLD,ST,SKIRTS,MILD-NA,2.162978112,566.02,713.7552362,0,1.714058098,0,27,33.84900063,0,1.696568363,0,367.252,456.0351651,0,1.66787857,0,0.75,4.5,2.162978112
1238,COLD,ST,SWEATERS,MILD-NA,2.162978112,716.32,2189.906652,0.5544,3.810241283,1.615196724,33,105.0527476,0.5544,3.977068563,1.615196724,384.443,1147.04817,0.5544,3.712915177,1.615196724,0.75,4.5,2.162978112
