Store,Climate,VSG,Category,Space,Sales,Units,Profit,Exit_Flag,Future_Space,Entry_Space,BOH $,BOH Units,CC Count w/ BOH,Profit %,Receipts  $,Receipts Units
211,NONE,ST,CHILDRENS ATHLETIC,70.52739726,90029,90029,90029,0,500,0,0,0,0,0,0,0
212,NONE,ST,CHILDRENS ATHLETIC,73.78125,97152.5,97152.5,97152.5,0,500,0,0,0,0,0,0,0
213,NONE,ST,CHILDRENS ATHLETIC,85,102318.5,102318.5,102318.5,0,500,0,0,0,0,0,0,0
214,NONE,ST,CHILDRENS ATHLETIC,71.06622517,99634,99634,99634,0,500,0,0,0,0,0,0,0
215,NONE,ST,CHILDRENS ATHLETIC,95.9947644,116536.5,116536.5,116536.5,0,500,0,0,0,0,0,0,0
216,NONE,ST,CHILDRENS ATHLETIC,74,110378.5,110378.5,110378.5,0,500,0,0,0,0,0,0,0
217,NONE,ST,CHILDRENS ATHLETIC,68.55172414,112276.5,112276.5,112276.5,0,500,0,0,0,0,0,0,0
218,NONE,ST,CHILDRENS ATHLETIC,85,99598,99598,99598,0,500,0,0,0,0,0,0,0
219,NONE,ST,CHILDRENS ATHLETIC,100.8900524,187487.5,187487.5,187487.5,0,500,0,0,0,0,0,0,0
220,NONE,ST,CHILDRENS ATHLETIC,80.54658385,125949,125949,125949,0,500,0,0,0,0,0,0,0
221,NONE,ST,CHILDRENS ATHLETIC,89.86153846,173010.5,173010.5,173010.5,0,500,0,0,0,0,0,0,0
222,NONE,ST,CHILDRENS ATHLETIC,100.5128205,133149,133149,133149,0,500,0,0,0,0,0,0,0
223,NONE,ST,CHILDRENS ATHLETIC,85.2642487,129245,129245,129245,0,500,0,0,0,0,0,0,0
224,NONE,ST,CHILDRENS ATHLETIC,65,90419.5,90419.5,90419.5,0,500,0,0,0,0,0,0,0
225,NONE,ST,CHILDRENS ATHLETIC,80.26666667,103556.5,103556.5,103556.5,0,500,0,0,0,0,0,0,0
226,NONE,ST,CHILDRENS ATHLETIC,85.59649123,85387.5,85387.5,85387.5,0,500,0,0,0,0,0,0,0
227,NONE,ST,CHILDRENS ATHLETIC,84.53038674,111978.5,111978.5,111978.5,0,500,0,0,0,0,0,0,0
228,NONE,ST,CHILDRENS ATHLETIC,85.24425287,97894.5,97894.5,97894.5,0,500,0,0,0,0,0,0,0
229,NONE,ST,CHILDRENS ATHLETIC,85.63118812,120031,120031,120031,0,500,0,0,0,0,0,0,0
230,NONE,ST,CHILDRENS ATHLETIC,69.01342282,75117.5,75117.5,75117.5,0,500,0,0,0,0,0,0,0
231,NONE,ST,CHILDRENS ATHLETIC,74.45121951,106948.5,106948.5,106948.5,0,500,0,0,0,0,0,0,0
232,NONE,ST,CHILDRENS ATHLETIC,99.2,73600.5,73600.5,73600.5,0,500,0,0,0,0,0,0,0
233,NONE,ST,CHILDRENS ATHLETIC,80.09937888,85388.5,85388.5,85388.5,0,500,0,0,0,0,0,0,0
234,NONE,ST,CHILDRENS ATHLETIC,95,101246,101246,101246,0,500,0,0,0,0,0,0,0
235,NONE,ST,CHILDRENS ATHLETIC,79.77142857,81524.5,81524.5,81524.5,0,500,0,0,0,0,0,0,0
236,NONE,ST,CHILDRENS ATHLETIC,84.76519337,90493.5,90493.5,90493.5,0,500,0,0,0,0,0,0,0
237,NONE,ST,CHILDRENS ATHLETIC,90.96774194,123594.5,123594.5,123594.5,0,500,0,0,0,0,0,0,0
238,NONE,ST,CHILDRENS ATHLETIC,84.54054054,112630.5,112630.5,112630.5,0,500,0,0,0,0,0,0,0
239,NONE,ST,CHILDRENS ATHLETIC,94.01041667,179526.5,179526.5,179526.5,0,500,0,0,0,0,0,0,0
240,NONE,ST,CHILDRENS ATHLETIC,79.01754386,101175,101175,101175,0,500,0,0,0,0,0,0,0
241,NONE,ST,CHILDRENS ATHLETIC,78.97777778,137734.5,137734.5,137734.5,0,500,0,0,0,0,0,0,0
242,NONE,ST,CHILDRENS ATHLETIC,69.95483871,90685.5,90685.5,90685.5,0,500,0,0,0,0,0,0,0
243,NONE,ST,CHILDRENS ATHLETIC,75.140625,120143,120143,120143,0,500,0,0,0,0,0,0,0
244,NONE,ST,CHILDRENS ATHLETIC,84.53038674,86325.5,86325.5,86325.5,0,500,0,0,0,0,0,0,0
245,NONE,ST,CHILDRENS ATHLETIC,89.32258065,120436,120436,120436,0,500,0,0,0,0,0,0,0
246,NONE,ST,CHILDRENS ATHLETIC,80,84264,84264,84264,0,500,0,0,0,0,0,0,0
247,NONE,ST,CHILDRENS ATHLETIC,79.85714286,81730.5,81730.5,81730.5,0,500,0,0,0,0,0,0,0
248,NONE,ST,CHILDRENS ATHLETIC,79.37349398,81935,81935,81935,0,500,0,0,0,0,0,0,0
249,NONE,ST,CHILDRENS ATHLETIC,79.38823529,75515,75515,75515,0,500,0,0,0,0,0,0,0
251,NONE,ST,CHILDRENS ATHLETIC,80.22988506,61260,61260,61260,0,500,0,0,0,0,0,0,0
252,NONE,ST,CHILDRENS ATHLETIC,75.22590361,66228,66228,66228,0,500,0,0,0,0,0,0,0
253,NONE,ST,CHILDRENS ATHLETIC,95.58809524,120953.5,120953.5,120953.5,0,500,0,0,0,0,0,0,0
254,NONE,ST,CHILDRENS ATHLETIC,85.18888889,93743.5,93743.5,93743.5,0,500,0,0,0,0,0,0,0
255,NONE,ST,CHILDRENS ATHLETIC,81.21637427,132215,132215,132215,0,500,0,0,0,0,0,0,0
256,NONE,ST,CHILDRENS ATHLETIC,89.75138122,104018.5,104018.5,104018.5,0,500,0,0,0,0,0,0,0
257,NONE,ST,CHILDRENS ATHLETIC,70.36129032,104396,104396,104396,0,500,0,0,0,0,0,0,0
258,NONE,ST,CHILDRENS ATHLETIC,75.46875,92865.5,92865.5,92865.5,0,500,0,0,0,0,0,0,0
259,NONE,ST,CHILDRENS ATHLETIC,80.22346369,86095.5,86095.5,86095.5,0,500,0,0,0,0,0,0,0
260,NONE,ST,CHILDRENS ATHLETIC,93.70680628,119749,119749,119749,0,500,0,0,0,0,0,0,0
261,NONE,ST,CHILDRENS ATHLETIC,80,44570.5,44570.5,44570.5,0,500,0,0,0,0,0,0,0
262,NONE,ST,CHILDRENS ATHLETIC,75.890625,103453.5,103453.5,103453.5,0,500,0,0,0,0,0,0,0
263,NONE,ST,CHILDRENS ATHLETIC,74.46745562,61753.5,61753.5,61753.5,0,500,0,0,0,0,0,0,0
264,NONE,ST,CHILDRENS ATHLETIC,105.1962617,128403,128403,128403,0,500,0,0,0,0,0,0,0
265,NONE,ST,CHILDRENS ATHLETIC,90.49723757,107583,107583,107583,0,500,0,0,0,0,0,0,0
266,NONE,ST,CHILDRENS ATHLETIC,75.55214724,51281.5,51281.5,51281.5,0,500,0,0,0,0,0,0,0
267,NONE,ST,CHILDRENS ATHLETIC,70.21875,100070.5,100070.5,100070.5,0,500,0,0,0,0,0,0,0
268,NONE,ST,CHILDRENS ATHLETIC,105,164632,164632,164632,0,500,0,0,0,0,0,0,0
269,NONE,ST,CHILDRENS ATHLETIC,80.14035088,114687.5,114687.5,114687.5,0,500,0,0,0,0,0,0,0
270,NONE,ST,CHILDRENS ATHLETIC,79.54545455,97595,97595,97595,0,500,0,0,0,0,0,0,0
271,NONE,ST,CHILDRENS ATHLETIC,80.9,93045,93045,93045,0,500,0,0,0,0,0,0,0
272,NONE,ST,CHILDRENS ATHLETIC,94.58495146,133887.5,133887.5,133887.5,0,500,0,0,0,0,0,0,0
273,NONE,ST,CHILDRENS ATHLETIC,84.75714286,128032,128032,128032,0,500,0,0,0,0,0,0,0
274,NONE,ST,CHILDRENS ATHLETIC,79.54545455,69807,69807,69807,0,500,0,0,0,0,0,0,0
275,NONE,ST,CHILDRENS ATHLETIC,69.95364238,134476,134476,134476,0,500,0,0,0,0,0,0,0
276,NONE,ST,CHILDRENS ATHLETIC,89.07216495,105515,105515,105515,0,500,0,0,0,0,0,0,0
277,NONE,ST,CHILDRENS ATHLETIC,84.25,86389.5,86389.5,86389.5,0,500,0,0,0,0,0,0,0
278,NONE,ST,CHILDRENS ATHLETIC,85.72443182,89615,89615,89615,0,500,0,0,0,0,0,0,0
